YYYY,MM,DD,YY_MM,date,SST_MIN,SST_MAX,SST@90HS,SSTA@90HS,90th,DHW,BAA
2024,11,17,2024-K,17/11/2024,27.42,28.71,27.99,0.6733,0,0,0
2024,11,16,2024-K,16/11/2024,27.4,28.64,28.06,0.8203,0,0,0
2024,11,15,2024-K,15/11/2024,27.36,28.78,28.08,0.82,0,0,0
2024,11,14,2024-K,14/11/2024,27.12,28.71,27.8,0.68,0,0,0
2024,11,13,2024-K,13/11/2024,27.01,28.48,27.75,0.5929,0,0,0
2024,11,12,2024-K,12/11/2024,26.94,28.47,27.76,0.631,0,0,0
2024,11,11,2024-K,11/11/2024,26.95,28.34,27.61,0.7723,0,0,0
2024,11,10,2024-K,10/11/2024,26.89,28.32,27.53,0.7039,0,0,0
2024,11,9,2024-K,9/11/2024,26.84,28.29,27.58,0.8345,0,0,0
2024,11,8,2024-K,8/11/2024,26.83,28.1,27.54,0.6832,0,0,0
2024,11,7,2024-K,7/11/2024,26.63,28.02,27.53,0.6748,0,0,0
2024,11,6,2024-K,6/11/2024,26.63,27.95,27.5,0.7084,0,0,0
2024,11,5,2024-K,5/11/2024,26.67,27.89,27.37,0.6603,0,0,0
2024,11,4,2024-K,4/11/2024,26.56,27.82,27.36,0.5871,0,0,0
2024,11,3,2024-K,3/11/2024,26.53,27.74,27.3,0.5684,0,0,0
2024,11,2,2024-K,2/11/2024,26.35,27.86,27.2,0.5174,0,0,0
2024,11,1,2024-K,1/11/2024,26.46,27.6,27.23,0.5455,0,0,0
2024,10,31,2024-J,31/10/2024,26.33,27.56,27.07,0.6055,0,0,0
2024,10,30,2024-J,30/10/2024,26.59,27.61,27.23,0.7345,0,0,0
2024,10,29,2024-J,29/10/2024,26.54,27.67,27.19,0.7281,0,0,0
2024,10,28,2024-J,28/10/2024,26.51,27.74,27.19,0.7194,0,0,0
2024,10,27,2024-J,27/10/2024,26.47,27.88,27.22,0.8871,0,0,0
2024,10,26,2024-J,26/10/2024,26.63,27.91,27.24,0.9877,0,0,0
2024,10,25,2024-J,25/10/2024,26.69,28.07,27.31,1.0965,0,0,0
2024,10,24,2024-J,24/10/2024,26.55,27.94,27.4,1.1458,0,0,0
2024,10,23,2024-J,23/10/2024,26.55,27.92,27.29,1.0652,0,0,0
2024,10,22,2024-J,22/10/2024,26.48,27.67,27.08,0.929,0,0,0
2024,10,21,2024-J,21/10/2024,26.42,27.6,26.93,0.8855,0,0,0
2024,10,20,2024-J,20/10/2024,26.39,27.65,26.7,0.9226,0,0,0
2024,10,19,2024-J,19/10/2024,26.33,27.39,26.68,0.8481,0,0,0
2024,10,18,2024-J,18/10/2024,26.26,27.12,26.59,0.8094,0,0,0
2024,10,17,2024-J,17/10/2024,26.08,27.01,26.5,0.7816,0,0,0
2024,10,16,2024-J,16/10/2024,25.93,26.94,26.34,0.7039,0,0,0
2024,10,15,2024-J,15/10/2024,25.94,27.11,26.73,0.89,0,0,0
2024,10,14,2024-J,14/10/2024,25.99,27.12,26.66,0.8523,0,0,0
2024,10,13,2024-J,13/10/2024,26.01,27.18,26.48,0.9293,0,0,0
2024,10,12,2024-J,12/10/2024,26.16,27.25,26.5,0.876,0,0,0
2024,10,11,2024-J,11/10/2024,26.09,27.18,26.47,0.8993,0,0,0
2024,10,10,2024-J,10/10/2024,26.02,27.09,26.68,1.075,0,0,0
2024,10,9,2024-J,9/10/2024,25.95,26.78,26.33,1.022,0,0,0
2024,10,8,2024-J,8/10/2024,25.68,26.44,26.25,0.7863,0,0,0
2024,10,7,2024-J,7/10/2024,25.44,26.33,26.06,0.878,0,0,0
2024,10,6,2024-J,6/10/2024,25.45,26.3,26.04,0.71,0,0,0
2024,10,5,2024-J,5/10/2024,25.41,26.21,26,0.69,0,0,0
2024,10,4,2024-J,4/10/2024,25.24,26.18,25.95,0.7003,0,0,0
2024,10,3,2024-J,3/10/2024,25.28,26.19,25.95,0.734,0,0,0
2024,10,2,2024-J,2/10/2024,25.44,26.19,26.06,0.8247,0,0,0
2024,10,1,2024-J,1/10/2024,25.6,26.35,26.15,0.9173,0,0,0
2024,9,30,2024-I,30/9/2024,25.53,26.45,26.19,1.035,0,0,0
2024,9,29,2024-I,29/9/2024,25.46,26.4,26.15,1.0393,0,0,0
2024,9,28,2024-I,28/9/2024,25.5,26.27,26.04,0.911,0,0,0
2024,9,27,2024-I,27/9/2024,25.13,26.13,25.94,0.808,0,0,0
2024,9,26,2024-I,26/9/2024,24.72,26.04,25.85,0.7707,0,0,0
2024,9,25,2024-I,25/9/2024,24.79,26,25.82,0.7133,0,0,0
2024,9,24,2024-I,24/9/2024,24.68,25.94,25.74,0.678,0,0,0
2024,9,23,2024-I,23/9/2024,24.57,26.03,25.85,0.7727,0,0,0
2024,9,22,2024-I,22/9/2024,24.73,26.3,26.03,1.0153,0,0,0
2024,9,21,2024-I,21/9/2024,24.65,26.06,25.79,0.792,0,0,0
2024,9,20,2024-I,20/9/2024,24.53,25.89,25.56,0.5983,0,0,0
2024,9,19,2024-I,19/9/2024,24.17,25.71,25.42,0.5093,0,0,0
2024,9,18,2024-I,18/9/2024,24.17,25.74,25.51,0.603,0,0,0
2024,9,17,2024-I,17/9/2024,24.66,25.86,25.57,0.8793,0,0,0
2024,9,16,2024-I,16/9/2024,24.52,25.95,25.57,0.9923,0,0,0
2024,9,15,2024-I,15/9/2024,24.49,25.96,25.51,0.98,0,0,0
2024,9,14,2024-I,14/9/2024,24.54,25.82,25.61,0.8871,0,0,0
2024,9,13,2024-I,13/9/2024,24.5,25.93,25.69,0.9216,0,0,0
2024,9,12,2024-I,12/9/2024,24.39,25.94,25.66,0.9413,0,0,0
2024,9,11,2024-I,11/9/2024,24.39,25.91,25.56,0.8861,0,0,0
2024,9,10,2024-I,10/9/2024,24.38,25.79,25.57,0.9919,0,0,0
2024,9,9,2024-I,9/9/2024,24.28,25.85,25.58,1.0803,0,0,0
2024,9,8,2024-I,8/9/2024,24.17,25.89,25.56,0.9542,0,0,0
2024,9,7,2024-I,7/9/2024,24.28,25.75,25.61,0.9248,0,0,0
2024,9,6,2024-I,6/9/2024,24.28,25.81,25.63,1.0926,0,0,0
2024,9,5,2024-I,5/9/2024,24.35,25.74,25.62,1.0113,0,0,0
2024,9,4,2024-I,4/9/2024,24.49,25.78,25.63,1.1423,0,0,0
2024,9,3,2024-I,3/9/2024,24.47,25.84,25.65,1.1468,0,0,0
2024,9,2,2024-I,2/9/2024,24.67,25.88,25.73,1.2097,0,0,0
2024,9,1,2024-I,1/9/2024,24.55,25.83,25.66,1.1484,0,0,0
2024,8,31,2024-H,31/8/2024,24.33,25.81,25.56,1.0068,0,0,0
2024,8,30,2024-H,30/8/2024,24.12,25.8,25.55,1.0339,0,0,0
2024,8,29,2024-H,29/8/2024,24.03,25.72,25.49,0.9552,0,0,0
2024,8,28,2024-H,28/8/2024,23.96,25.58,25.38,0.9345,0,0,0
2024,8,27,2024-H,27/8/2024,23.96,25.57,25.43,0.9187,0,0,0
2024,8,26,2024-H,26/8/2024,23.81,25.63,25.43,0.949,0,0,0
2024,8,25,2024-H,25/8/2024,23.84,25.61,25.39,1.0094,0,0,0
2024,8,24,2024-H,24/8/2024,23.67,25.62,25.31,0.9287,0,0,0
2024,8,23,2024-H,23/8/2024,23.61,25.46,25.14,0.78,0,0,0
2024,8,22,2024-H,22/8/2024,23.49,25.42,25.02,0.6216,0,0,0
2024,8,21,2024-H,21/8/2024,23.45,25.51,25.2,0.8435,0,0,0
2024,8,20,2024-H,20/8/2024,23.34,25.55,25.19,0.8448,0,0,0
2024,8,19,2024-H,19/8/2024,23.44,25.48,25.07,0.6855,0,0,0
2024,8,18,2024-H,18/8/2024,23.42,25.52,24.97,0.8219,0,0,0
2024,8,17,2024-H,17/8/2024,23.37,25.54,25.1,0.8439,0,0,0
2024,8,16,2024-H,16/8/2024,23.17,25.44,24.96,0.7316,0,0,0
2024,8,15,2024-H,15/8/2024,22.99,25.4,24.85,0.71,0,0,0
2024,8,14,2024-H,14/8/2024,22.83,25.26,24.77,0.5829,0,0,0
2024,8,13,2024-H,13/8/2024,22.48,25.07,24.65,0.5103,0,0,0
2024,8,12,2024-H,12/8/2024,22.63,24.95,24.71,0.4639,0,0,0
2024,8,11,2024-H,11/8/2024,22.45,25.12,24.58,0.3026,0,0,0
2024,8,10,2024-H,10/8/2024,22.66,25.13,24.63,0.3648,0,0,0
2024,8,9,2024-H,9/8/2024,22.65,25.17,24.77,0.5297,0,0,0
2024,8,8,2024-H,8/8/2024,22.75,25.2,24.75,0.6039,0,0,0
2024,8,7,2024-H,7/8/2024,22.57,25.12,24.78,0.5432,0,0,0
2024,8,6,2024-H,6/8/2024,22.31,25.04,24.75,0.5106,0,0,0
2024,8,5,2024-H,5/8/2024,22.09,25.07,24.78,0.5187,0,0,0
2024,8,4,2024-H,4/8/2024,22.09,25,24.87,0.2971,0,0,0
2024,8,3,2024-H,3/8/2024,22.01,25.11,24.83,0.4981,0,0,0
2024,8,2,2024-H,2/8/2024,22.31,25.35,24.97,0.5984,0,0,0
2024,8,1,2024-H,1/8/2024,22.55,25.25,25.02,0.6106,0,0,0
2024,7,31,2024-G,31/7/2024,22.53,25.21,24.84,0.7416,0,0,0
2024,7,30,2024-G,30/7/2024,22.77,25.38,25.16,0.7803,0,0,0
2024,7,29,2024-G,29/7/2024,23.03,25.42,25.16,0.9468,0,0,0
2024,7,28,2024-G,28/7/2024,23.02,25.67,25.35,1.0823,0,0,0
2024,7,27,2024-G,27/7/2024,22.76,25.81,25.32,1.1119,0,0,0
2024,7,26,2024-G,26/7/2024,22.71,25.48,25.35,1.1755,0,0,0
2024,7,25,2024-G,25/7/2024,22.81,25.41,25.14,1.159,0,0,0
2024,7,24,2024-G,24/7/2024,22.75,25.51,25.14,0.9648,0,0,0
2024,7,23,2024-G,23/7/2024,22.78,25.46,25.13,1.0058,0,0,0
2024,7,22,2024-G,22/7/2024,22.82,25.37,25.21,1.2203,0,0,0
2024,7,21,2024-G,21/7/2024,22.9,25.46,25.31,1.2352,0,0,0
2024,7,20,2024-G,20/7/2024,22.88,25.61,25.3,1.0826,0,0,0
2024,7,19,2024-G,19/7/2024,23.18,25.54,25.41,1.2368,0,0,0
2024,7,18,2024-G,18/7/2024,23.32,25.74,25.53,1.4487,0,0,0
2024,7,17,2024-G,17/7/2024,23.35,25.75,25.52,1.2897,0,0,0
2024,7,16,2024-G,16/7/2024,23.55,25.72,25.6,1.3432,0,0,0
2024,7,15,2024-G,15/7/2024,23.64,25.77,25.66,1.48,0,0,0
2024,7,14,2024-G,14/7/2024,23.56,25.65,25.55,1.3497,0,0,0
2024,7,13,2024-G,13/7/2024,23.51,25.69,25.57,1.234,0,0,0
2024,7,12,2024-G,12/7/2024,23.57,25.8,25.6,1.244,0,0,0
2024,7,11,2024-G,11/7/2024,23.65,25.94,25.69,1.4153,0,0,0
2024,7,10,2024-G,10/7/2024,23.45,25.9,25.75,1.1567,0,0,0
2024,7,9,2024-G,9/7/2024,23.36,25.95,25.7,1.004,0,0,0
2024,7,8,2024-G,8/7/2024,23.44,26.05,25.79,1.1487,0,0,0
2024,7,7,2024-G,7/7/2024,23.69,26.16,25.96,1.284,0,0,0
2024,7,6,2024-G,6/7/2024,23.82,26.25,26.02,1.271,0,0,0
2024,7,5,2024-G,5/7/2024,23.92,26.34,26.08,1.5767,0,0,0
2024,7,4,2024-G,4/7/2024,24.08,26.28,25.98,1.4393,0,0,0
2024,7,3,2024-G,3/7/2024,24.07,26.28,26.06,1.352,0,0,0
2024,7,2,2024-G,2/7/2024,24.21,26.23,26.1,1.3763,0,0,0
2024,7,1,2024-G,1/7/2024,24.18,26.17,26.05,1.3707,0,0,0
2024,6,30,2024-F,30/6/2024,24.17,26.25,26.13,1.64,0,0,0
2024,6,29,2024-F,29/6/2024,23.95,26.29,26.16,1.348,0,0,0
2024,6,28,2024-F,28/6/2024,23.9,26.25,26.1,1.4257,0,0,0
2024,6,27,2024-F,27/6/2024,23.87,26.18,26.08,1.304,0,0,0
2024,6,26,2024-F,26/6/2024,23.63,26.19,25.89,1.115,0,0,0
2024,6,25,2024-F,25/6/2024,23.68,26.08,25.89,1.33,0,0,0
2024,6,24,2024-F,24/6/2024,23.71,26.06,25.89,1.179,0,0,0
2024,6,23,2024-F,23/6/2024,23.97,26.29,26.07,1.4633,0,0,0
